x,y,th,v,w,dv,dw,t
-0.12292559,0.26528557,6.0815625,0.24,0.325,-0.1,-0.125,18.3
-0.089583782,0.26005239,6.1275,0.225,0.30625,-0.1,-0.125,18.45
-0.058283121,0.25651422,6.170625,0.21,0.2875,-0.1,-0.125,18.6
-0.029109426,0.25440281,6.2109375,0.195,0.26875,-0.1,-0.125,18.75
-0.0021257248,0.25346481,6.2484375,0.18,0.25,-0.1,-0.125,18.9
0.022624275,0.25346332,6.283125,0.165,0.23125,-0.1,-0.125,19.05
0.045112889,0.25417903,6.315,0.15,0.2125,-0.1,-0.125,19.2
0.065325377,0.25541103,6.3440625,0.135,0.19375,-0.1,-0.125,19.35
0.0832571,0.25697734,6.3703125,0.12,0.175,-0.1,-0.125,19.5
0.09891093,0.25871518,6.39375,0.105,0.15625,-0.1,-0.125,19.65
0.11229492,0.26048117,6.414375,0.09,0.1375,-0.1,-0.125,19.8
0.12342027,0.26215125,6.4321875,0.075,0.11875,-0.1,-0.125,19.95
0.13229951,0.26362066,6.4471875,0.06,0.1,-0.1,-0.125,20.1
0.13894501,0.2648038,6.459375,0.045,0.08125,-0.1,-0.125,20.25
0.14336775,0.26563405,6.46875,0.03,0.0625,-0.1,-0.125,20.4
0.14557635,0.26606368,6.4753125,0.015,0.04375,-0.1,-0.125,20.55
0.14557635,0.26606368,6.4790625,0,0.025,-0.1,-0.125,20.7
0.14557635,0.26606368,6.4790625,0,0.025,-0.1,-0.125,20.85
